property_id,address,city,neighborhood,latitude,longitude,property_type,year_built,sale_date,condition,finished_basement,renovated,near_transit,backs_onto_park,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,garage_spaces,sale_price
AB-00020,3541 Prairie Ave,Edmonton,Oliver,53.532376,-113.559658,Detached,1965.0,2025-06-11,Good,False,False,False,False,4,4.0,1634,4806.0,3,608000
AB-00021,5542 Cedar Ave,Edmonton,Summerside,53.546279,-113.504356,Condo,1963.0,2024-06-20,Average,True,False,False,False,3,2.0,907,,1,215000
AB-00022,4664 Maple Rd,Sherwood Park,Nottingham,53.51312,-113.302958,Detached,1984.0,2025-01-03,Average,True,False,False,False,5,3.5,1760,4788.0,2,648000
AB-00023,5239 Cedar Way,Edmonton,Terwillegar,53.555114,-113.49715,Detached,2015.0,2024-02-11,Average,True,False,True,False,6,2.5,2798,5409.0,1,1056000
AB-00024,2141 Prairie Rd,Edmonton,Summerside,53.632313,-113.502456,Detached,2000.0,2024-07-26,Good,True,False,True,False,3,3.0,1938,5272.0,2,842000
AB-00025,3543 Cedar Way,Calgary,Inglewood,51.084699,-114.038063,Townhouse,1960.0,2025-07-14,Average,False,False,True,False,4,2.5,1341,1215.0,1,449000
AB-00026,3948 Prairie Rd,Leduc,Southfork,53.210335,-113.522891,Townhouse,1971.0,2025-11-17,Good,True,True,False,False,3,2.5,1122,2501.0,1,345000
AB-00027,2517 Prairie St,St. Albert,Mission,53.633988,-113.648256,Detached,2023.0,2024-02-20,Average,False,True,False,False,4,2.5,1504,4520.0,2,589000
AB-00028,7351 Aspen Way,Calgary,Bridgeland,51.007519,-114.050588,Condo,2000.0,2024-11-24,Excellent,False,True,False,False,1,1.0,865,,1,332000
AB-00029,3941 Park Rd,St. Albert,Oakmont,53.619228,-113.588992,Duplex,1969.0,2024-12-02,Good,True,True,False,False,3,2.5,1883,2251.0,1,581000
AB-00030,9669 Prairie St,Edmonton,Rutherford,53.489838,-113.485491,Detached,2013.0,2022-10-28,Average,True,True,False,False,4,3.0,2052,6768.0,2,845000
AB-00031,7240 Cedar St,Sherwood Park,Nottingham,53.494984,-113.272213,Semi-Detached,2022.0,2024-07-24,Average,False,False,True,False,3,2.5,1784,2210.0,2,639000
AB-00032,7664 River St,Edmonton,Glenora,53.558226,-113.524401,Condo,2014.0,2025-07-08,Fair,True,False,False,False,2,1.5,905,,0,302000
AB-00033,1224 Prairie St,St. Albert,Mission,53.695802,-113.604278,Detached,2004.0,2025-09-28,Average,True,True,True,False,3,2.0,2081,4342.0,2,819000
AB-00034,2783 Park St,Red Deer,Lancaster,52.233986,-113.775781,Condo,1974.0,2025-07-24,Good,False,False,False,False,2,1.0,994,,0,234000
AB-00035,9372 Maple Rd,Edmonton,Summerside,53.560547,-113.456807,Detached,1975.0,2024-07-31,Good,True,False,True,False,5,3.5,1580,6356.0,2,704000
AB-00036,8648 Prairie Rd,Sherwood Park,Summerwood,53.510067,-113.332411,Semi-Detached,1979.0,2024-12-04,Average,False,False,False,False,3,3.0,1476,2597.0,1,430000
AB-00037,6309 Park St,Calgary,Bridgeland,51.054384,-114.034677,Condo,2019.0,2025-07-11,Average,True,True,False,False,1,2.0,925,,0,359000
AB-00038,4037 Prairie Blvd,Leduc,Black Stone,53.354606,-113.521145,Townhouse,2012.0,2025-01-22,Average,False,True,True,False,3,1.5,1713,1667.0,0,473000
AB-00039,7534 Park Rd,Edmonton,Laurel,53.538279,-113.46167,Semi-Detached,2002.0,2026-02-05,Average,False,False,False,False,3,2.0,1228,3585.0,2,409000
AB-00040,3280 Park Ave,Red Deer,Timberlands,52.21508,-113.831293,Detached,1996.0,2025-08-03,Excellent,True,False,True,False,4,3.5,1917,4183.0,3,729000
AB-00041,7316 Park Ave,Calgary,Mahogany,51.050761,-114.054561,Townhouse,1996.0,2023-09-24,Average,False,False,False,False,3,1.5,1403,1177.0,0,443000
AB-00042,6918 Aspen Way,Edmonton,Glenora,53.506096,-113.4777,Detached,1991.0,2025-10-20,Fair,False,False,False,False,5,4.0,2019,5269.0,1,807000
AB-00043,4435 Prairie St,Calgary,Inglewood,50.996482,-114.114102,Detached,1986.0,2025-12-13,Good,False,True,False,False,4,3.0,2437,6464.0,2,1182000
AB-00044,9763 Prairie Ave,Calgary,Beltline,51.179546,-114.04621,Detached,1989.0,2024-11-28,Excellent,True,True,True,False,5,3.5,2181,5818.0,2,1205000
AB-00045,6694 Park Way,Edmonton,Terwillegar,53.535066,-113.459646,Townhouse,2019.0,2025-03-17,Good,True,True,False,False,3,3.0,1588,,1,597000
AB-00046,4515 Aspen St,Edmonton,Windermere,53.548966,-113.38964,Detached,1962.0,2025-12-11,Excellent,False,False,False,False,4,3.5,1843,4617.0,2,704000
AB-00047,5503 Cedar Blvd,Calgary,Auburn Bay,50.988255,-114.093137,Condo,1973.0,2025-04-24,Good,False,False,False,False,2,1.0,1000,,0,308000
AB-00048,3173 Aspen Rd,Calgary,Inglewood,51.006979,-114.104089,Condo,2019.0,2025-01-14,Average,False,False,True,False,2,1.0,864,,1,316000
AB-00049,5191 Aspen St,Airdrie,Reunion,51.299276,-114.012349,Condo,1990.0,2026-03-05,Good,True,False,True,False,2,1.0,689,,1,185000
AB-00050,4093 Cedar Way,Red Deer,Timberlands,52.19722,-113.80281,Semi-Detached,2021.0,2025-11-25,Excellent,False,False,False,False,3,2.5,2193,,1,694000
AB-00051,9601 Prairie Blvd,Edmonton,Rutherford,53.542084,-113.471076,Detached,1998.0,2023-03-09,Good,False,False,False,False,5,2.5,2333,4248.0,1,866000
AB-00052,7849 Prairie Blvd,Calgary,Seton,51.032992,-114.093273,Condo,2012.0,2024-07-29,Fair,False,False,True,False,3,1.0,585,,0,157000
AB-00053,2461 Cedar Ave,Edmonton,Laurel,53.560274,-113.55054,Condo,2018.0,2025-09-10,Poor,True,False,False,False,3,1.0,1238,,1,324000
AB-00054,3946 Prairie Rd,Sherwood Park,Davidson Creek,53.488022,-113.317491,Detached,1964.0,2024-03-08,Good,False,True,False,False,4,3.5,2904,6438.0,2,1144000
AB-00055,4100 Aspen Blvd,Calgary,Aspen Woods,51.060234,-114.037041,Condo,2007.0,2025-12-06,Average,True,True,False,False,1,2.0,694,,0,273000
AB-00056,9055 River St,Edmonton,Oliver,53.510246,-113.505166,Detached,2019.0,2025-06-20,Excellent,False,False,False,False,4,3.0,1923,1310.0,2,804000
AB-00057,4937 Maple Blvd,Calgary,Aspen Woods,51.029298,-114.066017,Detached,2005.0,2024-11-06,Average,False,False,False,False,4,3.0,2684,3483.0,2,1418000
AB-00058,2340 Prairie St,St. Albert,Oakmont,53.630858,-113.669768,Duplex,1984.0,2022-08-17,Good,True,False,True,False,3,2.5,1047,3614.0,0,376000
AB-00059,4565 River Rd,Edmonton,Terwillegar,53.548543,-113.511139,Detached,2006.0,2023-02-01,Average,False,False,False,False,4,2.5,2039,,2,807000
AB-00060,9231 Park St,Calgary,Kensington,51.001376,-113.975913,Detached,2010.0,2026-05-25,Excellent,True,True,False,False,6,3.5,2247,7103.0,2,1189000
AB-00061,9298 Park Way,Edmonton,Rutherford,53.555935,-113.521821,Duplex,1963.0,2026-04-05,Good,False,False,False,False,4,1.5,1407,3211.0,0,391000
AB-00062,6178 Prairie Way,Edmonton,Glenora,53.525472,-113.455568,Condo,1977.0,2026-01-01,Average,False,False,False,False,1,1.0,741,,0,228000
AB-00063,6118 Aspen Rd,Airdrie,Bayside,51.302455,-113.977821,Detached,2006.0,2025-08-30,Fair,True,True,False,False,4,3.0,1638,6279.0,3,621000
AB-00064,9180 River Way,Red Deer,Lancaster,52.248494,-113.777572,Condo,1986.0,2025-10-13,Fair,True,True,False,True,1,1.0,667,,2,160000
AB-00065,5969 River Way,Sherwood Park,Emerald Hills,53.545306,-113.238205,Condo,1963.0,2025-12-12,Fair,True,True,False,True,2,2.0,845,,0,208000
AB-00066,8643 Park Blvd,Edmonton,Westmount,53.538481,-113.444355,Duplex,1965.0,2026-05-08,Good,True,False,False,False,3,1.5,1603,2658.0,1,555000
AB-00067,9690 Aspen Rd,Calgary,Auburn Bay,51.045435,-114.041212,Detached,1995.0,2024-10-05,Good,False,False,False,True,3,3.0,2316,6766.0,1,985000
AB-00068,6632 Cedar St,Red Deer,Lancaster,52.271495,-113.784418,Townhouse,2003.0,2025-07-23,Good,False,False,True,False,2,2.0,1431,1734.0,0,372000
AB-00069,9301 Aspen Rd,Edmonton,Windermere,53.503603,-113.441685,Detached,1967.0,2025-04-14,Average,True,False,False,False,3,3.5,2891,3992.0,2,1141000
AB-00070,1873 Park Way,St. Albert,Oakmont,53.630071,-113.665976,Townhouse,,2025-08-27,Average,False,False,False,False,3,2.5,1506,2114.0,0,489000
AB-00071,4577 Prairie Rd,Sherwood Park,Davidson Creek,53.536053,-113.332847,Townhouse,1994.0,2023-06-15,Poor,True,False,False,False,3,2.5,1180,2287.0,1,299000
AB-00072,5414 Aspen Way,Edmonton,Glenora,53.517322,-113.482834,Detached,1980.0,2026-04-16,Average,True,False,True,True,4,3.0,2135,4523.0,2,961000
AB-00073,1916 Park Way,Calgary,Inglewood,51.052822,-114.137064,Semi-Detached,1974.0,2024-07-25,Average,True,True,False,True,3,2.0,1397,2823.0,2,517000
AB-00074,2978 River Blvd,Edmonton,Summerside,53.556982,-113.427409,Duplex,2023.0,2025-10-16,Good,False,False,False,True,3,2.0,1248,2650.0,0,488000
AB-00075,6943 Park St,Leduc,Meadowview,53.224311,-113.550133,Semi-Detached,2014.0,2025-07-11,Average,True,False,False,False,3,1.5,1502,3184.0,1,448000
AB-00076,5662 River Rd,Calgary,Inglewood,51.015747,-114.048529,Condo,2010.0,2026-03-22,Good,False,True,False,False,1,1.5,920,,1,378000
AB-00077,8195 Cedar Way,Calgary,Mahogany,51.068855,-114.089955,Detached,1969.0,2025-03-06,Average,False,False,False,False,3,2.5,1901,5682.0,2,731000
AB-00078,5866 Aspen St,Calgary,Seton,51.017645,-114.070797,Detached,1995.0,2025-03-03,Average,True,False,True,False,3,3.0,1955,5317.0,2,798000
AB-00079,9466 Prairie Ave,Fort McMurray,Timberlea,56.802061,-111.413531,Townhouse,1965.0,2025-02-06,Average,False,False,False,False,3,2.0,1712,2279.0,1,420000
AB-00080,2700 Park Rd,Sherwood Park,Summerwood,53.51291,-113.333487,Semi-Detached,2016.0,2023-05-09,Average,True,False,False,False,3,2.0,1605,4951.0,1,562000
AB-00081,9647 Prairie Ave,Red Deer,Clearview,52.24153,-113.804432,Detached,1979.0,2023-07-27,Average,False,False,False,False,4,3.0,994,4569.0,2,301000
AB-00082,7037 Aspen Rd,Airdrie,Bayside,51.271508,-114.054829,Townhouse,1971.0,2025-07-27,Good,True,True,False,False,3,2.0,1819,2275.0,0,546000
AB-00083,2247 Aspen Blvd,Edmonton,Oliver,53.58738,-113.514913,Detached,1964.0,2025-12-05,Good,False,False,False,False,4,3.5,1355,7397.0,2,488000
AB-00084,4018 Park Blvd,Calgary,Inglewood,51.088024,-114.143649,Detached,2017.0,2023-11-23,Average,True,False,False,False,5,4.0,2559,5062.0,2,1167000
AB-00085,954 Prairie Blvd,Edmonton,Rutherford,53.530348,-113.465772,Semi-Detached,1977.0,2022-11-19,Good,False,False,False,False,3,2.0,1551,3237.0,0,440000
AB-00086,5827 Maple Blvd,Edmonton,Oliver,53.564105,-113.461777,Detached,1988.0,2025-01-10,Good,True,False,True,False,5,2.0,1885,5344.0,2,745000
AB-00087,7840 Prairie Ave,Edmonton,Windermere,53.590819,-113.478846,Condo,1996.0,2025-02-13,Excellent,False,True,True,False,2,2.0,512,,0,187000
AB-00088,882 River Blvd,Sherwood Park,Davidson Creek,53.545249,-113.242632,Condo,1990.0,2024-09-09,Average,False,True,False,False,2,1.0,1191,,1,332000
AB-00089,1502 Aspen Rd,Edmonton,Summerside,53.537386,-113.450079,Townhouse,2013.0,2024-12-17,Average,False,False,False,True,3,1.5,1865,2677.0,1,633000
AB-00090,1798 Aspen Rd,Leduc,Meadowview,53.283412,-113.501671,Townhouse,1968.0,2025-06-13,Average,False,False,True,False,4,2.0,1692,1317.0,0,361000
AB-00091,3402 Maple Ave,Calgary,Auburn Bay,51.035271,-114.039611,Townhouse,2018.0,2023-07-21,Poor,False,False,False,False,3,1.5,1054,900.0,1,337000
AB-00092,6129 Cedar Blvd,Edmonton,Summerside,53.497796,-113.570452,Detached,1994.0,2025-05-09,Fair,True,True,False,False,5,2.0,1983,7154.0,2,769000
AB-00093,5362 Maple St,Sherwood Park,Clarkdale,53.46884,-113.29971,Duplex,1983.0,2025-08-10,Average,True,False,False,False,3,1.5,1557,2777.0,1,435000
AB-00094,6755 Park Way,Calgary,Beltline,51.011804,-114.095024,Townhouse,1967.0,2024-07-13,Fair,True,True,False,False,4,2.5,1517,1983.0,1,443000
AB-00095,7471 Park Rd,Calgary,Mahogany,51.0102,-114.049218,Detached,1964.0,2026-03-22,Good,False,False,False,False,5,3.0,1921,6346.0,2,757000
AB-00096,4364 Prairie Blvd,Edmonton,Windermere,53.509867,-113.518714,Detached,1975.0,2024-09-20,Average,True,False,False,False,3,3.0,1593,5071.0,3,601000
AB-00097,1163 Aspen Way,Sherwood Park,Nottingham,53.51671,-113.286071,Detached,2000.0,2025-08-05,Good,False,False,False,False,5,4.0,2834,5242.0,2,1089000
AB-00098,9177 Aspen Rd,Sherwood Park,Davidson Creek,53.567713,-113.319573,Detached,2023.0,2024-11-21,Poor,True,False,True,False,6,3.5,1850,5937.0,2,658000
AB-00099,7472 Cedar Way,Red Deer,Anders,52.215068,-113.749691,Semi-Detached,2000.0,2024-11-21,Good,False,True,False,False,3,3.0,1467,1358.0,0,475000
AB-00100,8601 Park St,Airdrie,Coopers Crossing,51.311879,-114.000394,Condo,1988.0,2024-08-27,Average,False,True,False,False,2,1.0,795,,0,239000
AB-00101,9334 Maple St,Edmonton,Oliver,53.512656,-113.56609,Townhouse,2003.0,2024-08-21,Good,False,True,True,False,3,1.5,1629,1736.0,1,596000
AB-00102,6753 Park Blvd,Calgary,Beltline,51.02207,-114.12057,Semi-Detached,2021.0,2026-04-08,Average,True,False,False,False,3,2.0,1323,,2,595000
AB-00103,1839 Park Ave,Edmonton,Laurel,53.597898,-113.490318,Duplex,2007.0,2025-09-08,Average,False,True,True,False,4,3.0,1696,2794.0,0,533000
AB-00104,2710 Cedar Way,Leduc,Tribute,53.223096,-113.557865,Detached,2000.0,2025-07-28,Average,False,True,False,False,5,2.5,2635,5846.0,2,853000
AB-00105,233 Maple Blvd,Edmonton,Laurel,53.61293,-113.556736,Detached,2020.0,2025-09-11,Average,False,False,False,False,4,3.0,1327,6311.0,2,541000
AB-00106,2046 River St,Calgary,Bridgeland,51.023966,-114.11078,Detached,1995.0,2025-06-26,Good,False,False,True,False,4,3.0,1657,4615.0,2,796000
AB-00107,8546 River Rd,Calgary,Beltline,51.042942,-114.082653,Detached,2018.0,2023-07-18,Fair,True,False,False,False,3,2.5,1576,5524.0,2,655000
AB-00108,9663 Park St,Calgary,Auburn Bay,51.062232,-114.11589,Townhouse,1974.0,2025-09-10,Excellent,False,False,False,False,3,2.5,1205,2177.0,1,413000
AB-00109,4068 Maple Way,St. Albert,Riverside,53.649518,-113.655418,Semi-Detached,2008.0,2024-02-17,Fair,True,False,False,False,3,2.5,1775,1864.0,2,600000
AB-00110,7937 Aspen Blvd,Edmonton,Westmount,53.482929,-113.567039,Condo,1986.0,2025-12-13,Average,False,False,False,False,2,1.0,682,,0,194000
AB-00111,4976 Park Ave,Leduc,Black Stone,53.281751,-113.624068,Townhouse,1988.0,2025-01-24,Excellent,True,False,False,False,2,2.0,1414,1347.0,1,417000
AB-00112,2499 Park St,Edmonton,Windermere,53.547759,-113.532519,Townhouse,2004.0,2026-03-20,Excellent,True,False,True,False,3,3.0,1047,1474.0,1,429000
AB-00113,8800 River Ave,Edmonton,Terwillegar,53.525909,-113.456194,Condo,1990.0,2025-04-11,Average,True,False,False,False,2,1.0,1071,,1,292000
AB-00114,4806 Park Rd,Fort McMurray,Thickwood,56.640192,-111.41486,Detached,1985.0,2026-03-09,Good,False,True,False,False,5,3.5,2188,6929.0,2,814000
AB-00115,3152 Prairie Rd,Edmonton,Oliver,53.524961,-113.489903,Detached,2010.0,2024-05-30,Good,True,False,False,False,5,4.0,1858,5645.0,1,796000
AB-00116,7618 Prairie Rd,Calgary,Auburn Bay,51.053605,-114.056708,Condo,1974.0,2026-05-25,Average,False,False,False,False,1,1.0,1106,,0,295000
AB-00117,7922 Park Ave,Edmonton,Rutherford,53.559906,-113.512744,Duplex,1983.0,2025-05-12,Excellent,True,False,False,False,3,1.5,1313,2497.0,1,436000
AB-00118,6742 Prairie Way,St. Albert,Erin Ridge,53.619089,-113.571545,Detached,2019.0,2022-06-19,Average,False,False,False,False,4,2.5,2883,6245.0,2,1124000
AB-00119,9098 Cedar Way,Calgary,Bridgeland,50.979222,-114.087718,Detached,2007.0,2025-10-28,Average,False,False,False,False,3,2.5,1032,3990.0,2,472000
AB-00120,8892 River Ave,Calgary,Seton,51.037031,-114.034577,Detached,2024.0,2024-12-23,Average,False,False,False,False,4,2.0,2704,5592.0,2,969000
AB-00121,5149 Prairie St,Leduc,Tribute,53.207649,-113.497831,Duplex,1967.0,2026-06-05,Average,False,False,True,False,3,2.5,1515,3339.0,1,385000
AB-00122,2318 Prairie Blvd,Edmonton,Glenora,53.568247,-113.391619,Condo,2012.0,2025-05-13,Average,False,False,False,True,1,2.0,758,,0,268000
AB-00123,3748 Maple St,Fort McMurray,Beacon Hill,56.696955,-111.341635,Detached,2010.0,2023-02-20,Average,False,False,False,False,5,2.0,2061,4648.0,3,660000
AB-00124,6968 Aspen St,Edmonton,Laurel,53.562864,-113.478785,Detached,1964.0,2026-04-01,Good,True,True,False,False,3,3.5,1982,4626.0,2,770000
AB-00125,4839 River Way,Edmonton,Glenora,53.511843,-113.513793,Detached,1967.0,2024-10-04,Fair,False,False,True,False,3,2.5,1720,4876.0,3,658000
AB-00126,7099 Aspen Blvd,Fort McMurray,Beacon Hill,56.757136,-111.317996,Detached,1982.0,2025-06-21,Good,False,False,False,False,4,2.0,2290,4093.0,3,758000
AB-00127,2465 Cedar St,Calgary,Mahogany,51.001137,-114.151942,Detached,1988.0,2025-04-08,Average,False,True,True,False,3,3.0,2794,4271.0,2,1282000
AB-00128,9978 Maple St,Red Deer,Anders,52.266155,-113.798601,Condo,1994.0,2024-10-15,Average,False,False,False,False,1,2.0,993,,0,206000
AB-00129,3450 Cedar Ave,Calgary,Beltline,51.048529,-114.039241,Detached,2021.0,2025-08-23,Excellent,True,False,False,False,3,3.5,3050,5355.0,2,1650000
AB-00130,6173 Park Blvd,Calgary,Auburn Bay,51.061201,-113.987209,Semi-Detached,2000.0,2025-10-25,Excellent,False,True,False,False,4,2.5,1617,2567.0,2,748000
AB-00131,5630 Park Blvd,St. Albert,Oakmont,53.595864,-113.63126,Detached,2023.0,2022-08-21,Average,False,False,False,False,4,3.0,2666,4586.0,2,1062000
AB-00132,1317 Prairie St,Edmonton,Westmount,53.599634,-113.50091,Detached,1964.0,2025-04-12,Good,True,False,True,False,5,4.0,2442,3169.0,3,936000
AB-00133,357 Maple Way,Edmonton,Westmount,53.574911,-113.490501,Detached,2021.0,2026-05-27,Good,True,False,False,False,4,3.0,1494,3214.0,2,642000
AB-00134,8725 Park Rd,Calgary,Inglewood,51.103116,-114.083582,Duplex,1979.0,2025-04-28,Average,True,False,False,False,4,1.5,1087,2564.0,0,352000
AB-00135,6313 Cedar Way,Red Deer,West Park,52.173709,-113.813643,Townhouse,1964.0,2024-08-25,Fair,True,True,False,False,3,2.5,1288,1663.0,2,291000
AB-00136,9386 Cedar Rd,St. Albert,Riverside,53.695213,-113.574905,Condo,1989.0,2026-03-24,Average,False,False,False,False,3,2.0,1003,,2,272000
AB-00137,5003 River Way,Edmonton,Laurel,53.548173,-113.493173,Detached,2010.0,2025-05-06,Excellent,False,False,False,False,3,2.0,1452,8288.0,2,655000
AB-00138,9858 Cedar Rd,Sherwood Park,Summerwood,53.521122,-113.320309,Semi-Detached,1969.0,2025-09-02,Average,False,False,True,False,4,1.5,1609,3084.0,1,471000
AB-00139,1444 Park Ave,Calgary,Mahogany,51.048425,-114.083374,Townhouse,1991.0,2024-08-28,Good,True,False,False,True,3,1.5,1214,1443.0,1,494000
AB-00140,8495 Cedar St,Airdrie,Reunion,51.335313,-114.107703,Detached,2017.0,2025-06-11,Average,False,False,False,False,4,2.0,757,6509.0,2,304000
AB-00141,2878 Prairie Blvd,Edmonton,Rutherford,53.518876,-113.543776,Detached,1991.0,2025-09-06,Average,True,False,True,False,3,4.0,1782,3510.0,3,685000
AB-00142,3303 Cedar St,Calgary,Auburn Bay,51.069959,-114.122707,Duplex,2023.0,2026-06-02,Average,False,False,False,False,3,3.0,1711,3690.0,2,627000
AB-00143,3390 Cedar Rd,Calgary,Seton,51.069655,-114.082715,Semi-Detached,1998.0,2025-04-27,Average,False,False,False,False,4,2.5,1696,2222.0,1,537000
AB-00144,9039 River Way,Calgary,Bridgeland,51.032066,-114.01973,Detached,1985.0,2025-02-21,Average,False,True,False,False,4,3.5,2269,5733.0,2,963000
AB-00145,6276 Maple Blvd,Edmonton,Rutherford,53.535266,-113.479124,Townhouse,1979.0,2023-02-04,Good,False,False,False,False,2,2.0,1503,2096.0,1,391000
AB-00146,4167 Prairie Rd,Calgary,Beltline,51.026405,-114.024695,Duplex,1970.0,2024-09-19,Fair,True,False,False,False,3,3.0,1708,2670.0,1,504000
AB-00147,6508 Cedar Way,St. Albert,Mission,53.65171,-113.683219,Detached,1988.0,2026-01-05,Average,True,True,True,False,3,2.5,1316,3332.0,2,571000
AB-00148,5806 Cedar St,Fort McMurray,Timberlea,56.786076,-111.369504,Condo,1986.0,2024-06-25,Average,False,True,True,False,2,1.0,450,,0,112000
AB-00149,9142 River Rd,Edmonton,Laurel,53.544783,-113.444151,Townhouse,1991.0,2025-02-20,Average,True,False,True,False,3,1.5,1213,1999.0,2,369000
AB-00150,3471 Park St,Calgary,Beltline,51.042707,-114.058049,Duplex,1960.0,2024-12-06,Good,True,False,False,False,4,2.0,1492,2545.0,1,469000
AB-00151,7601 Aspen Ave,Leduc,West Haven,53.285414,-113.541611,Condo,1974.0,2024-06-16,Average,False,False,False,False,1,1.0,553,,0,119000
AB-00152,9517 Cedar Blvd,Edmonton,Summerside,53.527208,-113.528824,Detached,2013.0,2024-08-27,Average,False,False,False,False,3,3.0,1958,5617.0,2,781000
AB-00153,8039 River Ave,Edmonton,Terwillegar,53.48651,-113.447488,Detached,2005.0,2024-11-10,Excellent,False,False,False,False,4,3.0,1509,5689.0,1,699000
AB-00154,8908 Park Ave,Sherwood Park,Nottingham,53.599492,-113.250053,Detached,1964.0,2024-11-06,Average,False,False,False,True,4,3.5,2065,6379.0,2,645000
AB-00155,1777 Prairie Ave,Edmonton,Laurel,53.547013,-113.470505,Semi-Detached,1987.0,2026-05-06,Excellent,False,False,False,False,3,2.5,1166,2700.0,1,378000
AB-00156,2381 River Ave,Fort McMurray,Thickwood,56.705297,-111.4423,Detached,2014.0,2024-11-02,Fair,True,False,False,False,5,3.0,2034,4293.0,3,632000
AB-00157,6843 Maple Rd,Red Deer,West Park,52.304977,-113.853923,Townhouse,1972.0,2024-01-31,Fair,False,True,True,False,4,2.5,1012,1312.0,2,267000
AB-00158,1625 Cedar Way,Edmonton,Rutherford,53.516057,-113.462286,Semi-Detached,2017.0,2024-06-27,Fair,False,False,False,False,3,2.0,1697,3347.0,1,491000
AB-00159,6616 River Blvd,Edmonton,Windermere,53.542738,-113.442083,Duplex,1968.0,2025-01-18,Good,True,False,True,False,3,2.5,1484,4592.0,1,532000
AB-00160,2688 Cedar Blvd,Calgary,Auburn Bay,51.022756,-113.99034,Duplex,2018.0,2025-03-27,Poor,True,False,True,False,4,2.5,1440,4039.0,0,504000
AB-00161,5105 Prairie Ave,Edmonton,Terwillegar,53.580139,-113.465819,Detached,1981.0,2026-03-07,Fair,False,True,False,False,4,2.0,1696,5958.0,2,577000
AB-00162,7926 Maple Ave,Edmonton,Westmount,53.543495,-113.46587,Detached,2014.0,2026-02-24,Good,True,False,True,False,4,3.5,1622,4902.0,3,778000
